suffix,reputation,popularity,level,branches,leaves,cnt,cntPos,cntNeg,isPSL,features
qpon,-1,0.022,1,1,1,3,0,1,1,"qpon: qpon"
comsec,0,0.0155,1,0,0,2,0,0,1,"comsec: comsec"
lego,0,0.0159,1,0,0,2,0,0,1,"lego: lego"
virgin,0,0.018,1,0,0,2,0,0,1,"virgin: virgin"
tel,-1,0.0479,1,11,11,13,0,11,1,"tel: tel"
pics,-0.718,0.189,1,68,71,87,12,73,1,"pics: pics"
pics.free-nude,0.833,0.0011,2,4,4,12,11,1,0,"pics.free-nude: pics.free,-,nude|pi,cs.free,-,nude"
xn--55qx5d,0,0.0215,1,0,0,2,0,0,1,"公司: 公司 #IDN"
energy,-0.786,0.08,1,23,23,30,3,25,1,"energy: energy"
gle,0,0.0193,1,0,0,2,0,0,1,"gle: gle"
ferrari,0,0.0166,1,0,0,2,0,0,1,"ferrari: ferrari"
click,0.231,0.3521,1,303,327,348,213,133,1,"click: click"
latino,0,0.0154,1,0,0,2,0,0,1,"latino: latino"
redstone,0,0.0158,1,0,0,2,0,0,1,"redstone: reds,tone"
wine,-1,0.046,1,9,9,13,0,11,1,"wine: wine"
xn--80aqecdr1a,0,0.0139,1,0,0,2,0,0,1,"католик: католик #IDN"
arab,0,0.0169,1,0,0,2,0,0,1,"arab: arab"
weir,-0.2,0.034,1,2,3,7,2,3,1,"weir: weir"
weir.cloud,0.333,0.0015,2,2,2,3,2,1,0,"weir.cloud: weir.cloud|we,ir.cloud"
ceb,0,0.0184,1,0,0,2,0,0,1,"ceb: ceb"
glade,0,0.016,1,0,0,2,0,0,1,"glade: glade"
hosting,-0.294,0.0899,1,23,30,38,12,22,1,"hosting: hosting"
hosting.nitrado,0.778,0.001,2,1,6,9,8,1,0,"hosting.nitrado: hosting.nitra,do|host,ing.nitra,do"
hosting.opencraft,0,0.0187,2,0,0,2,0,0,1,"hosting.opencraft: hosting.open,craft|host,ing.open,craft"
xn--ogbpf8fl,0,0.0139,1,0,0,2,0,0,1,"سورية: سورية #IDN"
gmo,0,0.0166,1,0,0,2,0,0,1,"gmo: gmo"
infiniti,0,0.0146,1,0,0,2,0,0,1,"infiniti: infin,iti"
ceo,-1,0.025,1,3,3,5,0,3,1,"ceo: ceo"
gold,-1,0.0861,1,18,18,20,0,18,1,"gold: gold"
skype,0,0.019,1,0,0,2,0,0,1,"skype: skype"
golf,-0.667,0.046,1,11,11,14,2,10,1,"golf: golf"
gmx,0,0.0177,1,0,0,2,0,0,1,"gmx: gmx"
cfa,0,0.0176,1,0,0,2,0,0,1,"cfa: cfa"
flir,0,0.0173,1,0,0,2,0,0,1,"flir: flir"
cfd,0,0.0164,1,0,0,2,0,0,1,"cfd: cfd"
xn--ngbc5azd,-1,0.0199,1,1,1,3,0,1,1,"شبكة: شبكة #IDN"
xn--c2br7g,0,0.0126,1,0,0,2,0,0,1,"नेट: नेट #IDN"
xn--80ao21a,0,0.0164,1,0,0,2,0,0,1,"қаз: қаз #IDN"
creditunion,0,0.0275,1,0,0,2,0,0,1,"creditunion: credit,union"
gnu,0,0.0163,1,0,0,1,0,0,1,"gnu: gnu"
xn--rvc1e0am3e,0,0,1,0,0,1,0,0,1,"ഭാരതം: ഭാരതം #IDN"
thd,0,0.0157,1,0,0,2,0,0,1,"thd: thd"
sale,-0.417,0.0619,1,20,20,26,7,17,1,"sale: sale"
spreadbetting,0,0.0141,1,0,0,2,0,0,1,"spreadbetting: spread,betting"
blue,-0.971,0.1799,1,69,69,72,1,69,1,"blue: blue"
pfizer,0,0.0158,1,0,0,2,0,0,1,"pfizer: pfizer"
surgery,-1,0.0213,1,1,1,3,0,1,1,"surgery: surgery"
taipei,-1,0.0845,1,24,25,30,0,28,1,"taipei: taipei"
taipei.gov,-1,0.012,2,2,2,3,0,3,0,"taipei.gov: taipei.gov|tai,pei.gov"
broadway,0,0.0175,1,0,0,2,0,0,1,"broadway: broadway"
goo,-1,0.0372,1,1,1,3,0,1,1,"goo: goo"
gop,-0.778,0.0462,1,9,9,11,1,8,1,"gop: gop"
got,0,0.0182,1,0,0,2,0,0,1,"got: got"
rsvp,0,0.0162,1,0,0,2,0,0,1,"rsvp: rsvp"
gov,-0.997,12.9364,1,1906,1906,2806,4,2800,1,"gov: gov"
analytics,0,0.018,1,0,0,2,0,0,1,"analytics: analytic,s"
